Model,City,Year,BodyType,milage range,Stroke,Mileage,Price,price in word
Honda CG 125,Karachi,2017,Standard,between 1 to 20000,4 Stroke,1,105000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Lahore,2018,Standard,between 1 to 20000,4 Stroke,15000,97500,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Rawalpindi,2015,Standard,between 40001 to 60000,4 Stroke,44000,85000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Karachi,2023,Standard,between 1 to 20000,4 Stroke,350,215000,From Two Lac Ten Thousand To  Two Lac Fourty Thousand
Honda CG 125,Karachi,2014,Standard,between 1 to 20000,4 Stroke,20000,90000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Lahore,2021,Standard,between 200001 to 40000,4 Stroke,25000,155000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,8500,180000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Lahore,2022,Standard,between 200001 to 40000,4 Stroke,25000,185000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2019,Standard,between 1 to 20000,4 Stroke,8000,175000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Karachi,2021,Standard,between 1 to 20000,4 Stroke,11000,140000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CD 70,Lahore,2022,Standard,between 1 to 20000,4 Stroke,2800,125000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Karachi,2016,Standard,between 40001 to 60000,4 Stroke,50000,100000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Rawalpindi,2021,Standard,between 1 to 20000,4 Stroke,14500,115000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Lahore,2023,Standard,between 1 to 20000,4 Stroke,8000,140000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,5285,225000,From Two Lac Ten Thousand To  Two Lac Fourty Thousand
Honda CG 125,Rawalpindi,2019,Standard,between 40001 to 60000,4 Stroke,66000,160000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CD 70,Rawalpindi,2012,Standard,between 1 to 20000,4 Stroke,999,45000,From Thirty Thousand To Sixty Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,4000,190000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CD 70,Rawalpindi,2016,Standard,between 1 to 20000,4 Stroke,100,78000,From Sixty Thousand To Ninty Thousand
Honda CD 70,Lahore,2005,Standard,between 1 to 20000,4 Stroke,123,85000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Lahore,2020,Standard,between 40001 to 60000,4 Stroke,160000,175000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Rawalpindi,2021,Standard,between 1 to 20000,4 Stroke,10000,160000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Lahore,2005,Standard,between 200001 to 40000,4 Stroke,25000,40000,From Thirty Thousand To Sixty Thousand
Honda CD 70,Karachi,2017,Standard,between 200001 to 40000,4 Stroke,22000,45000,From Thirty Thousand To Sixty Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,10000,200000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CD 70,Lahore,2021,Standard,between 1 to 20000,4 Stroke,20000,105000,From Ninty Thousand To  One Lac Twenty Thousand
